CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Customer_Segment,Cluster,Customer_Cluster
CUST000040,1349,1,191.74,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000041,636,3,1793.55,3,4,3,343,10,Loyal Customers,0,Regular Customers
CUST000042,1071,2,1298.03,2,2,2,222,6,At Risk,1,Inactive Customers
CUST000043,480,1,497.33,3,1,1,311,5,At Risk,2,Occasional Customers
CUST000044,344,3,3636.77,4,4,5,445,13,Champions,0,Regular Customers
CUST000046,235,4,2558.5299999999997,4,5,4,454,13,Champions,0,Regular Customers
CUST000047,1280,2,1081.3899999999999,1,2,2,122,5,At Risk,1,Inactive Customers
CUST000048,1108,1,1463.6,1,1,3,113,5,At Risk,1,Inactive Customers
CUST000049,724,2,2925.89,2,2,4,224,8,Potential Loyalists,0,Regular Customers
CUST000050,337,2,2380.86,4,2,4,424,10,Loyal Customers,0,Regular Customers
CUST000051,218,1,758.83,4,1,2,412,7,Potential Loyalists,2,Occasional Customers
CUST000052,1708,1,895.66,1,1,2,112,4,At Risk,1,Inactive Customers
CUST000053,905,3,1727.68,2,4,3,243,9,Potential Loyalists,0,Regular Customers
CUST000054,490,3,3251.9,3,4,4,344,11,Loyal Customers,0,Regular Customers
CUST000055,619,2,4507.969999999999,3,2,5,325,10,Loyal Customers,0,Regular Customers
CUST000056,454,2,3346.4300000000003,3,2,5,325,10,Loyal Customers,0,Regular Customers
CUST000058,85,2,651.0300000000001,5,2,1,521,8,Potential Loyalists,2,Occasional Customers
CUST000059,625,1,1035.29,3,1,2,312,6,At Risk,2,Occasional Customers
CUST000061,706,1,2140.97,2,1,3,213,6,At Risk,2,Occasional Customers
CUST000062,56,6,7146.65,5,5,5,555,15,Champions,3,High Value Customers
CUST000063,407,3,1043.5900000000001,3,4,2,342,9,Potential Loyalists,0,Regular Customers
CUST000064,24,4,5024.780000000001,5,5,5,555,15,Champions,3,High Value Customers
CUST000065,62,3,5306.8,5,4,5,545,14,Champions,3,High Value Customers
CUST000066,248,2,1223.3600000000001,4,2,2,422,8,Potential Loyalists,2,Occasional Customers
CUST000067,399,2,1106.49,3,2,2,322,7,Potential Loyalists,2,Occasional Customers
CUST000068,878,3,2133.56,2,4,3,243,9,Potential Loyalists,0,Regular Customers
CUST000069,223,5,9578.62,4,5,5,455,14,Champions,3,High Value Customers
CUST000070,2,5,4382.66,5,5,5,555,15,Champions,3,High Value Customers
CUST000071,647,2,3549.08,3,2,5,325,10,Loyal Customers,0,Regular Customers
CUST000072,301,1,1823.97,4,1,3,413,8,Potential Loyalists,2,Occasional Customers
CUST000073,640,2,364.29,3,2,1,321,6,At Risk,2,Occasional Customers
CUST000074,208,1,936.42,4,1,2,412,7,Potential Loyalists,2,Occasional Customers
CUST000075,1735,1,177.35,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000076,202,3,3722.78,4,4,5,445,13,Champions,0,Regular Customers
CUST000077,1674,1,1397.38,1,1,2,112,4,At Risk,1,Inactive Customers
CUST000078,1438,1,126.29,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000079,573,1,1401.0,3,1,2,312,6,At Risk,2,Occasional Customers
CUST000080,1687,2,1546.23,1,2,3,123,6,At Risk,1,Inactive Customers
CUST000081,1654,1,625.81,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000082,1186,2,3002.29,1,2,4,124,7,Potential Loyalists,1,Inactive Customers
CUST000083,506,2,2052.1099999999997,3,2,3,323,8,Potential Loyalists,2,Occasional Customers
CUST000084,1618,1,113.97,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000085,257,3,875.5799999999999,4,4,2,442,10,Loyal Customers,2,Occasional Customers
CUST000086,346,5,5106.34,4,5,5,455,14,Champions,3,High Value Customers
CUST000087,1293,2,1926.6399999999999,1,2,3,123,6,At Risk,1,Inactive Customers
CUST000088,1023,1,738.67,2,1,2,212,5,At Risk,1,Inactive Customers
CUST000089,885,1,552.31,2,1,1,211,4,At Risk,1,Inactive Customers
CUST000091,1479,1,944.65,1,1,2,112,4,At Risk,1,Inactive Customers
CUST000092,187,2,2097.69,4,2,3,423,9,Potential Loyalists,2,Occasional Customers
CUST000093,386,3,1959.58,4,4,3,443,11,Loyal Customers,0,Regular Customers
CUST000094,565,1,680.74,3,1,1,311,5,At Risk,2,Occasional Customers
CUST000095,935,2,2744.84,2,2,4,224,8,Potential Loyalists,1,Inactive Customers
CUST000096,233,4,3768.67,4,5,5,455,14,Champions,3,High Value Customers
CUST000097,1141,1,191.43,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000098,5,1,290.85,5,1,1,511,7,Potential Loyalists,2,Occasional Customers
CUST000099,968,2,3654.03,2,2,5,225,9,Potential Loyalists,0,Regular Customers
CUST000100,787,2,2897.41,2,2,4,224,8,Potential Loyalists,0,Regular Customers
CUST000101,680,2,730.36,2,2,2,222,6,At Risk,2,Occasional Customers
CUST000102,145,1,2009.63,5,1,3,513,9,Potential Loyalists,2,Occasional Customers
CUST000103,1232,2,544.31,1,2,1,121,4,At Risk,1,Inactive Customers
CUST000104,179,2,388.09000000000003,4,2,1,421,7,Potential Loyalists,2,Occasional Customers
CUST000105,362,5,2138.8,4,5,3,453,12,Loyal Customers,0,Regular Customers
CUST000107,265,2,1778.95,4,2,3,423,9,Potential Loyalists,2,Occasional Customers
CUST000108,253,4,2228.13,4,5,4,454,13,Champions,0,Regular Customers
CUST000109,349,2,1499.71,4,2,3,423,9,Potential Loyalists,2,Occasional Customers
CUST000110,1,3,4204.21,5,4,5,545,14,Champions,0,Regular Customers
CUST000112,345,3,3073.67,4,4,4,444,12,Loyal Customers,0,Regular Customers
CUST000113,304,1,292.81,4,1,1,411,6,At Risk,2,Occasional Customers
CUST000115,112,3,2479.67,5,4,4,544,13,Champions,0,Regular Customers
CUST000116,505,2,2850.1099999999997,3,2,4,324,9,Potential Loyalists,0,Regular Customers
CUST000119,205,3,2942.56,4,4,4,444,12,Loyal Customers,0,Regular Customers
CUST000120,1381,1,323.0,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000121,53,4,4097.08,5,5,5,555,15,Champions,3,High Value Customers
CUST000123,41,4,2268.66,5,5,4,554,14,Champions,0,Regular Customers
CUST000126,781,4,1522.33,2,5,3,253,10,Loyal Customers,0,Regular Customers
CUST000127,106,2,2003.3899999999999,5,2,3,523,10,Loyal Customers,2,Occasional Customers
CUST000128,461,2,3416.25,3,2,5,325,10,Loyal Customers,0,Regular Customers
CUST000130,1323,1,1486.25,1,1,3,113,5,At Risk,1,Inactive Customers
CUST000131,1346,1,2466.19,1,1,4,114,6,At Risk,1,Inactive Customers
CUST000132,1616,1,816.11,1,1,2,112,4,At Risk,1,Inactive Customers
CUST000133,1256,1,359.95,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000134,729,2,4020.4700000000003,2,2,5,225,9,Potential Loyalists,0,Regular Customers
CUST000135,265,2,2008.2199999999998,4,2,3,423,9,Potential Loyalists,2,Occasional Customers
CUST000136,1031,1,297.72,2,1,1,211,4,At Risk,1,Inactive Customers
CUST000137,108,4,4621.53,5,5,5,555,15,Champions,3,High Value Customers
CUST000138,11,6,5457.71,5,5,5,555,15,Champions,3,High Value Customers
CUST000139,75,6,5485.71,5,5,5,555,15,Champions,3,High Value Customers
CUST000140,326,1,1140.76,4,1,2,412,7,Potential Loyalists,2,Occasional Customers
CUST000141,886,3,1156.37,2,4,2,242,8,Potential Loyalists,0,Regular Customers
CUST000144,1800,1,203.06,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000145,1694,1,2649.96,1,1,4,114,6,At Risk,1,Inactive Customers
CUST000146,97,3,1374.51,5,4,2,542,11,Loyal Customers,0,Regular Customers
CUST000147,823,2,1693.52,2,2,3,223,7,Potential Loyalists,2,Occasional Customers
CUST000148,590,1,783.58,3,1,2,312,6,At Risk,2,Occasional Customers
CUST000149,121,2,1270.2,5,2,2,522,9,Potential Loyalists,2,Occasional Customers
CUST000150,1136,1,1379.35,1,1,2,112,4,At Risk,1,Inactive Customers
CUST000151,500,3,1911.28,3,4,3,343,10,Loyal Customers,0,Regular Customers
CUST000152,1194,5,1459.8200000000002,1,5,3,153,9,Potential Loyalists,0,Regular Customers
CUST000153,662,1,57.05,3,1,1,311,5,At Risk,2,Occasional Customers
CUST000154,467,2,1370.74,3,2,2,322,7,Potential Loyalists,2,Occasional Customers
CUST000155,1649,1,1761.45,1,1,3,113,5,At Risk,1,Inactive Customers
CUST000156,190,2,1777.3300000000002,4,2,3,423,9,Potential Loyalists,2,Occasional Customers
CUST000157,1380,2,1238.46,1,2,2,122,5,At Risk,1,Inactive Customers
CUST000158,899,3,2935.9799999999996,2,4,4,244,10,Loyal Customers,0,Regular Customers
CUST000159,290,2,2122.01,4,2,3,423,9,Potential Loyalists,2,Occasional Customers
CUST000160,964,5,1988.1599999999999,2,5,3,253,10,Loyal Customers,0,Regular Customers
CUST000161,162,3,2252.22,5,4,4,544,13,Champions,0,Regular Customers
CUST000162,430,1,745.36,3,1,2,312,6,At Risk,2,Occasional Customers
CUST000163,1436,1,1089.83,1,1,2,112,4,At Risk,1,Inactive Customers
CUST000164,424,5,4248.28,3,5,5,355,13,Champions,3,High Value Customers
CUST000165,453,1,865.32,3,1,2,312,6,At Risk,2,Occasional Customers
CUST000166,588,2,2935.2799999999997,3,2,4,324,9,Potential Loyalists,0,Regular Customers
CUST000167,1492,1,171.97,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000168,744,1,2442.34,2,1,4,214,7,Potential Loyalists,2,Occasional Customers
CUST000169,102,4,6813.650000000001,5,5,5,555,15,Champions,3,High Value Customers
CUST000170,369,4,4652.0,4,5,5,455,14,Champions,3,High Value Customers
CUST000171,178,2,558.21,4,2,1,421,7,Potential Loyalists,2,Occasional Customers
CUST000172,1232,1,1376.02,1,1,2,112,4,At Risk,1,Inactive Customers
CUST000173,770,1,366.02,2,1,1,211,4,At Risk,2,Occasional Customers
CUST000174,484,2,1203.62,3,2,2,322,7,Potential Loyalists,2,Occasional Customers
CUST000176,939,1,522.94,2,1,1,211,4,At Risk,1,Inactive Customers
CUST000177,36,2,1544.04,5,2,3,523,10,Loyal Customers,2,Occasional Customers
CUST000178,365,2,871.72,4,2,2,422,8,Potential Loyalists,2,Occasional Customers
CUST000179,1462,1,185.21,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000180,146,7,4954.05,5,5,5,555,15,Champions,3,High Value Customers
CUST000183,19,3,2221.32,5,4,3,543,12,Loyal Customers,0,Regular Customers
CUST000184,293,1,1150.3,4,1,2,412,7,Potential Loyalists,2,Occasional Customers
CUST000185,367,2,506.41999999999996,4,2,1,421,7,Potential Loyalists,2,Occasional Customers
CUST000186,1815,1,1002.32,1,1,2,112,4,At Risk,1,Inactive Customers
CUST000188,705,4,3356.62,2,5,5,255,12,Loyal Customers,0,Regular Customers
CUST000189,504,1,739.02,3,1,2,312,6,At Risk,2,Occasional Customers
CUST000190,907,1,264.69,2,1,1,211,4,At Risk,1,Inactive Customers
CUST000191,361,2,1908.93,4,2,3,423,9,Potential Loyalists,2,Occasional Customers
CUST000192,81,3,1889.94,5,4,3,543,12,Loyal Customers,0,Regular Customers
CUST000193,969,2,1386.3799999999999,2,2,2,222,6,At Risk,1,Inactive Customers
CUST000194,785,1,741.08,2,1,2,212,5,At Risk,2,Occasional Customers
CUST000195,399,1,766.71,3,1,2,312,6,At Risk,2,Occasional Customers
CUST000196,1800,1,688.99,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000197,316,3,3019.76,4,4,4,444,12,Loyal Customers,0,Regular Customers
CUST000198,912,1,612.66,2,1,1,211,4,At Risk,1,Inactive Customers
CUST000199,197,2,1247.08,4,2,2,422,8,Potential Loyalists,2,Occasional Customers
CUST000200,76,5,3271.38,5,5,4,554,14,Champions,3,High Value Customers
CUST000203,602,3,2907.8599999999997,3,4,4,344,11,Loyal Customers,0,Regular Customers
CUST000204,754,2,3098.64,2,2,4,224,8,Potential Loyalists,0,Regular Customers
CUST000206,507,2,620.13,3,2,1,321,6,At Risk,2,Occasional Customers
CUST000207,1389,1,156.56,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000208,561,1,496.0,3,1,1,311,5,At Risk,2,Occasional Customers
CUST000209,17,4,4162.34,5,5,5,555,15,Champions,3,High Value Customers
CUST000210,399,2,1759.0,3,2,3,323,8,Potential Loyalists,2,Occasional Customers
CUST000211,617,5,3642.16,3,5,5,355,13,Champions,3,High Value Customers
CUST000212,1755,1,137.06,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000213,861,2,3546.0899999999997,2,2,5,225,9,Potential Loyalists,0,Regular Customers
CUST000214,401,1,1103.48,3,1,2,312,6,At Risk,2,Occasional Customers
CUST000215,13,6,6449.26,5,5,5,555,15,Champions,3,High Value Customers
CUST000216,1763,1,1329.02,1,1,2,112,4,At Risk,1,Inactive Customers
CUST000217,239,2,1414.0,4,2,2,422,8,Potential Loyalists,2,Occasional Customers
CUST000218,791,2,352.54,2,2,1,221,5,At Risk,2,Occasional Customers
CUST000219,1064,2,4528.4400000000005,2,2,5,225,9,Potential Loyalists,0,Regular Customers
CUST000220,529,3,3360.69,3,4,5,345,12,Loyal Customers,0,Regular Customers
CUST000222,1105,1,60.97,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000223,118,4,3212.6,5,5,4,554,14,Champions,0,Regular Customers
CUST000224,1685,1,444.57,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000225,1489,1,454.69,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000227,432,1,695.74,3,1,1,311,5,At Risk,2,Occasional Customers
CUST000228,1166,2,408.04999999999995,1,2,1,121,4,At Risk,1,Inactive Customers
CUST000229,216,3,3046.15,4,4,4,444,12,Loyal Customers,0,Regular Customers
CUST000231,956,2,692.5,2,2,1,221,5,At Risk,1,Inactive Customers
CUST000232,195,3,1541.58,4,4,3,443,11,Loyal Customers,0,Regular Customers
CUST000233,456,1,149.9,3,1,1,311,5,At Risk,2,Occasional Customers
CUST000234,131,5,5256.79,5,5,5,555,15,Champions,3,High Value Customers
CUST000235,116,3,3904.91,5,4,5,545,14,Champions,0,Regular Customers
CUST000236,124,2,401.95000000000005,5,2,1,521,8,Potential Loyalists,2,Occasional Customers
CUST000237,24,5,2050.62,5,5,3,553,13,Champions,0,Regular Customers
CUST000238,273,1,646.08,4,1,1,411,6,At Risk,2,Occasional Customers
CUST000239,561,2,5681.43,3,2,5,325,10,Loyal Customers,0,Regular Customers
CUST000240,620,4,3409.9100000000003,3,5,5,355,13,Champions,0,Regular Customers
CUST000241,616,1,405.87,3,1,1,311,5,At Risk,2,Occasional Customers
CUST000242,556,3,3811.33,3,4,5,345,12,Loyal Customers,0,Regular Customers
CUST000243,1291,1,63.36,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000244,64,4,3135.63,5,5,4,554,14,Champions,0,Regular Customers
CUST000245,94,2,1918.59,5,2,3,523,10,Loyal Customers,2,Occasional Customers
CUST000246,330,2,999.51,4,2,2,422,8,Potential Loyalists,2,Occasional Customers
CUST000247,509,2,2537.7,3,2,4,324,9,Potential Loyalists,0,Regular Customers
CUST000248,141,1,1315.7,5,1,2,512,8,Potential Loyalists,2,Occasional Customers
CUST000250,504,3,2821.67,3,4,4,344,11,Loyal Customers,0,Regular Customers
CUST000251,1055,1,631.14,2,1,1,211,4,At Risk,1,Inactive Customers
CUST000253,783,2,1117.06,2,2,2,222,6,At Risk,2,Occasional Customers
CUST000254,751,1,1652.07,2,1,3,213,6,At Risk,2,Occasional Customers
CUST000255,911,4,4603.94,2,5,5,255,12,Loyal Customers,3,High Value Customers
CUST000256,981,1,425.63,2,1,1,211,4,At Risk,1,Inactive Customers
CUST000257,842,1,23.02,2,1,1,211,4,At Risk,1,Inactive Customers
CUST000258,1102,1,1265.93,1,1,2,112,4,At Risk,1,Inactive Customers
CUST000259,84,1,861.46,5,1,2,512,8,Potential Loyalists,2,Occasional Customers
CUST000260,640,2,1390.85,3,2,2,322,7,Potential Loyalists,2,Occasional Customers
CUST000261,384,1,1140.8,4,1,2,412,7,Potential Loyalists,2,Occasional Customers
CUST000264,445,4,3347.27,3,5,5,355,13,Champions,0,Regular Customers
CUST000265,819,1,1330.1,2,1,2,212,5,At Risk,1,Inactive Customers
CUST000266,632,1,974.3,3,1,2,312,6,At Risk,2,Occasional Customers
CUST000267,1114,2,2448.95,1,2,4,124,7,Potential Loyalists,1,Inactive Customers
CUST000268,406,3,2834.88,3,4,4,344,11,Loyal Customers,0,Regular Customers
CUST000269,511,2,1559.0700000000002,3,2,3,323,8,Potential Loyalists,2,Occasional Customers
CUST000270,724,3,1388.69,2,4,2,242,8,Potential Loyalists,0,Regular Customers
CUST000272,636,2,1452.44,3,2,3,323,8,Potential Loyalists,2,Occasional Customers
CUST000274,913,1,1010.4,2,1,2,212,5,At Risk,1,Inactive Customers
CUST000275,135,2,909.17,5,2,2,522,9,Potential Loyalists,2,Occasional Customers
CUST000276,771,1,438.33,2,1,1,211,4,At Risk,2,Occasional Customers
CUST000277,50,2,745.67,5,2,2,522,9,Potential Loyalists,2,Occasional Customers
CUST000278,231,6,4338.08,4,5,5,455,14,Champions,3,High Value Customers
CUST000279,956,2,4970.1,2,2,5,225,9,Potential Loyalists,0,Regular Customers
CUST000280,995,2,3469.6,2,2,5,225,9,Potential Loyalists,0,Regular Customers
CUST000281,179,2,607.02,4,2,1,421,7,Potential Loyalists,2,Occasional Customers
CUST000282,277,3,3750.21,4,4,5,445,13,Champions,0,Regular Customers
CUST000283,1461,1,794.08,1,1,2,112,4,At Risk,1,Inactive Customers
CUST000284,260,2,1542.08,4,2,3,423,9,Potential Loyalists,2,Occasional Customers
CUST000285,103,4,3503.91,5,5,5,555,15,Champions,0,Regular Customers
CUST000287,540,1,2316.48,3,1,4,314,8,Potential Loyalists,2,Occasional Customers
CUST000289,250,3,2295.97,4,4,4,444,12,Loyal Customers,0,Regular Customers
CUST000290,1316,1,1637.91,1,1,3,113,5,At Risk,1,Inactive Customers
CUST000291,259,1,225.4,4,1,1,411,6,At Risk,2,Occasional Customers
CUST000292,116,3,1219.02,5,4,2,542,11,Loyal Customers,0,Regular Customers
CUST000293,334,3,3333.31,4,4,4,444,12,Loyal Customers,0,Regular Customers
CUST000294,902,3,1887.68,2,4,3,243,9,Potential Loyalists,0,Regular Customers
CUST000295,919,4,5394.02,2,5,5,255,12,Loyal Customers,3,High Value Customers
CUST000296,209,2,1004.28,4,2,2,422,8,Potential Loyalists,2,Occasional Customers
CUST000297,1284,2,1406.33,1,2,2,122,5,At Risk,1,Inactive Customers
CUST000302,1514,1,314.13,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000304,1276,2,3274.6800000000003,1,2,4,124,7,Potential Loyalists,1,Inactive Customers
CUST000305,520,1,2304.93,3,1,4,314,8,Potential Loyalists,2,Occasional Customers
CUST000306,346,3,2707.33,4,4,4,444,12,Loyal Customers,0,Regular Customers
CUST000307,554,1,1816.25,3,1,3,313,7,Potential Loyalists,2,Occasional Customers
CUST000310,734,1,1645.06,2,1,3,213,6,At Risk,2,Occasional Customers
CUST000311,783,3,1725.4,2,4,3,243,9,Potential Loyalists,0,Regular Customers
CUST000312,718,3,2584.56,2,4,4,244,10,Loyal Customers,0,Regular Customers
CUST000313,500,3,3698.21,3,4,5,345,12,Loyal Customers,0,Regular Customers
CUST000314,1344,1,90.6,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000315,980,1,336.82,2,1,1,211,4,At Risk,1,Inactive Customers
CUST000316,472,1,2336.11,3,1,4,314,8,Potential Loyalists,2,Occasional Customers
CUST000317,364,3,2709.2799999999997,4,4,4,444,12,Loyal Customers,0,Regular Customers
CUST000318,895,1,1377.06,2,1,2,212,5,At Risk,1,Inactive Customers
CUST000320,1049,1,1050.53,2,1,2,212,5,At Risk,1,Inactive Customers
CUST000321,1606,1,744.8,1,1,2,112,4,At Risk,1,Inactive Customers
CUST000322,849,2,1234.93,2,2,2,222,6,At Risk,1,Inactive Customers
CUST000323,1409,1,526.98,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000325,495,3,5719.84,3,4,5,345,12,Loyal Customers,3,High Value Customers
CUST000326,550,4,3179.62,3,5,4,354,12,Loyal Customers,0,Regular Customers
CUST000327,786,1,1120.75,2,1,2,212,5,At Risk,2,Occasional Customers
CUST000328,589,3,4764.299999999999,3,4,5,345,12,Loyal Customers,0,Regular Customers
CUST000329,917,1,58.53,2,1,1,211,4,At Risk,1,Inactive Customers
CUST000331,277,7,4340.49,4,5,5,455,14,Champions,3,High Value Customers
CUST000332,1206,1,1079.76,1,1,2,112,4,At Risk,1,Inactive Customers
CUST000333,863,2,1217.78,2,2,2,222,6,At Risk,1,Inactive Customers
CUST000334,356,1,41.59,4,1,1,411,6,At Risk,2,Occasional Customers
CUST000335,71,5,2108.65,5,5,3,553,13,Champions,0,Regular Customers
CUST000336,544,1,2615.24,3,1,4,314,8,Potential Loyalists,2,Occasional Customers
CUST000337,424,1,875.36,3,1,2,312,6,At Risk,2,Occasional Customers
CUST000338,414,2,1210.45,3,2,2,322,7,Potential Loyalists,2,Occasional Customers
CUST000339,1,5,5584.96,5,5,5,555,15,Champions,3,High Value Customers
CUST000340,34,6,5169.45,5,5,5,555,15,Champions,3,High Value Customers
CUST000341,183,3,2239.38,4,4,4,444,12,Loyal Customers,0,Regular Customers
CUST000342,820,3,1587.04,2,4,3,243,9,Potential Loyalists,0,Regular Customers
CUST000343,306,3,4014.76,4,4,5,445,13,Champions,0,Regular Customers
CUST000344,296,2,722.5899999999999,4,2,2,422,8,Potential Loyalists,2,Occasional Customers
CUST000345,173,2,519.96,5,2,1,521,8,Potential Loyalists,2,Occasional Customers
CUST000346,1322,1,1988.09,1,1,3,113,5,At Risk,1,Inactive Customers
CUST000348,91,3,1453.38,5,4,3,543,12,Loyal Customers,0,Regular Customers
CUST000349,1518,1,2307.31,1,1,4,114,6,At Risk,1,Inactive Customers
CUST000350,411,1,743.17,3,1,2,312,6,At Risk,2,Occasional Customers
CUST000351,90,1,103.71,5,1,1,511,7,Potential Loyalists,2,Occasional Customers
CUST000352,71,3,3333.27,5,4,4,544,13,Champions,0,Regular Customers
CUST000353,302,4,5644.7300000000005,4,5,5,455,14,Champions,3,High Value Customers
CUST000354,35,3,2930.54,5,4,4,544,13,Champions,0,Regular Customers
CUST000356,1707,1,711.8,1,1,2,112,4,At Risk,1,Inactive Customers
CUST000357,260,3,1229.53,4,4,2,442,10,Loyal Customers,0,Regular Customers
CUST000359,1259,1,1185.32,1,1,2,112,4,At Risk,1,Inactive Customers
CUST000360,95,3,1967.07,5,4,3,543,12,Loyal Customers,0,Regular Customers
CUST000361,399,4,5319.34,3,5,5,355,13,Champions,3,High Value Customers
CUST000362,138,1,545.13,5,1,1,511,7,Potential Loyalists,2,Occasional Customers
CUST000363,256,2,1033.63,4,2,2,422,8,Potential Loyalists,2,Occasional Customers
CUST000365,1521,1,638.53,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000366,686,3,1398.65,2,4,2,242,8,Potential Loyalists,0,Regular Customers
CUST000367,3,3,3367.7799999999997,5,4,5,545,14,Champions,0,Regular Customers
CUST000368,772,1,2303.63,2,1,4,214,7,Potential Loyalists,2,Occasional Customers
CUST000369,969,4,3131.52,2,5,4,254,11,Loyal Customers,0,Regular Customers
CUST000370,18,1,399.08,5,1,1,511,7,Potential Loyalists,2,Occasional Customers
CUST000372,1784,1,396.62,1,1,1,111,3,Lost Customers,1,Inactive Customers
CUST000373,81,5,3070.69,5,5,4,554,14,Champions,3,High Value Customers
CUST000374,753,2,732.73,2,2,2,222,6,At Risk,2,Occasional Customers
CUST000375,156,2,824.03,5,2,2,522,9,Potential Loyalists,2,Occasional Customers
CUST000376,1025,1,2018.6,2,1,3,213,6,At Risk,1,Inactive Customers
CUST000377,413,2,1481.12,3,2,3,323,8,Potential Loyalists,2,Occasional Customers
CUST000378,1313,1,1717.39,1,1,3,113,5,At Risk,1,Inactive Customers
CUST000380,327,2,802.83,4,2,2,422,8,Potential Loyalists,2,Occasional Customers
CUST000381,907,2,934.69,2,2,2,222,6,At Risk,1,Inactive Customers
CUST000382,111,3,1729.0700000000002,5,4,3,543,12,Loyal Customers,0,Regular Customers
CUST000384,967,3,3636.5,2,4,5,245,11,Loyal Customers,0,Regular Customers
CUST000385,1030,2,2442.5899999999997,2,2,4,224,8,Potential Loyalists,1,Inactive Customers
CUST000386,1198,3,4708.38,1,4,5,145,10,Loyal Customers,0,Regular Customers
CUST000387,201,2,3821.1,4,2,5,425,11,Loyal Customers,0,Regular Customers
